"Date of Birth","Data di nascita"
Sunday,Domenica
Monday,Lunedì
Tuesday,Martedì
Wednesday,Mercoledì
Thursday,Giovedì
Friday,Venerdì
Saturday,Sabato
Su,Do
Mo,Lu
Tu,Ma
We,Me
Th,Gi
Fr,Ve
Sa,Sa
January,Gennaio
Fabruary,Febbraio
March,Marzo
April,Aprile
May,Maggio
June,Giugno
July,Luglio
August,Agosto
September,Settembre
October,Ottobre
November,Novembre
December,Dicembre
Jan,Gen
Fab,Geb
Mar,Mar
Apr,Apr
May,Mag
Jun,Giu
Jul,Lug
Aug,Ago
Sep,Set
Oct,Ott
Nov,Nov
Dec,Dic
"Select Date","Seleziona una data"